"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Indiana"	"18"	29	222827	13.0
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Kansas"	"20"	11	94693	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Kentucky"	"21"	21	150089	14.0
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Louisiana"	"22"	23	151851	15.1
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Maryland"	"24"	19	206993	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Michigan"	"26"	33	354608	9.3
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Minnesota"	"27"	10	197141	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Missouri"	"29"	17	210683	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Nevada"	"32"	14	96162	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"New Jersey"	"34"	14	317543	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"New York"	"36"	19	662408	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"North Carolina"	"37"	34	329908	10.3
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Ohio"	"39"	42	406593	10.3
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Pennsylvania"	"42"	43	456956	9.4
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"South Carolina"	"45"	33	161475	20.4
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Tennessee"	"47"	35	218185	16.0
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Texas"	"48"	100	833381	12.0
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Virginia"	"51"	15	282911	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of thorax, part unspecified"	"S21.9"	"Pennsylvania"	"42"	11	456956	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of thorax, part unspecified"	"S21.9"	"Tennessee"	"47"	12	218185	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of thorax, part unspecified"	"S21.9"	"Texas"	"48"	17	833381	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Alabama"	"01"	19	161580	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Arizona"	"04"	38	210268	18.1
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"California"	"06"	20	1239880	1.6
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Colorado"	"08"	11	180953	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Connecticut"	"09"	11	131905	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Florida"	"12"	67	693675	9.7
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Georgia"	"13"	30	323418	9.3
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Illinois"	"17"	15	429364	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Indiana"	"18"	18	222827	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Kentucky"	"21"	19	150089	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Maryland"	"24"	24	206993	11.6
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Michigan"	"26"	24	354608	6.8
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Missouri"	"29"	19	210683	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Nevada"	"32"	15	96162	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"New Jersey"	"34"	17	317543	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"New Mexico"	"35"	11	67883	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"New York"	"36"	18	662408	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"North Carolina"	"37"	15	329908	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Ohio"	"39"	37	406593	9.1
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Pennsylvania"	"42"	21	456956	4.6
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"South Carolina"	"45"	18	161475	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Tennessee"	"47"	29	218185	13.3
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Texas"	"48"	86	833381	10.3
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Virginia"	"51"	16	282911	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Alabama"	"01"	32	161580	19.8
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Arizona"	"04"	44	210268	20.9
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Arkansas"	"05"	18	96334	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"California"	"06"	42	1239880	3.4
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Colorado"	"08"	32	180953	17.7
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Connecticut"	"09"	11	131905	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Florida"	"12"	73	693675	10.5
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Georgia"	"13"	49	323418	15.2
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Illinois"	"17"	38	429364	8.9
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Indiana"	"18"	41	222827	18.4
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Kansas"	"20"	11	94693	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Kentucky"	"21"	30	150089	20.0
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Louisiana"	"22"	32	151851	21.1
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Maryland"	"24"	24	206993	11.6
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Michigan"	"26"	43	354608	12.1
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Minnesota"	"27"	15	197141	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Mississippi"	"28"	13	95176	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Missouri"	"29"	27	210683	12.8
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Nebraska"	"31"	11	62783	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Nevada"	"32"	19	96162	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"New Jersey"	"34"	19	317543	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"New Mexico"	"35"	11	67883	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"New York"	"36"	28	662408	4.2
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"North Carolina"	"37"	41	329908	12.4
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Ohio"	"39"	59	406593	14.5
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Pennsylvania"	"42"	63	456956	13.8
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"South Carolina"	"45"	40	161475	24.8
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Tennessee"	"47"	50	218185	22.9
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Texas"	"48"	133	833381	16.0
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Virginia"	"51"	18	282911	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"West Virginia"	"54"	13	64021	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by sharp object"	"X78"	"Intentional self-harm by sharp object"	"X78"	"California"	"06"	10	1239880	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by jumping from a high place"	"X80"	"Unspecified injury of trunk, level unspecified"	"T09.9"	"New York"	"36"	13	662408	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by jumping from a high place"	"X80"	"Intentional self-harm by jumping from a high place"	"X80"	"California"	"06"	11	1239880	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-harm by jumping from a high place"	"X80"	"Intentional self-harm by jumping from a high place"	"X80"	"New York"	"36"	14	662408	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	"California"	"06"	17	1161996	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	"Florida"	"12"	15	721830	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	"Michigan"	"26"	10	349807	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	"Pennsylvania"	"42"	11	452217	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	"Texas"	"48"	12	772451	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"California"	"06"	25	1161996	2.2
	"60-64 years "	"60-64"	"Female"	"F"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Florida"	"12"	19	721830	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Michigan"	"26"	12	349807	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"New York"	"36"	10	642095	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Pennsylvania"	"42"	13	452217	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Texas"	"48"	15	772451	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"California"	"06"	24	1161996	2.1
	"60-64 years "	"60-64"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Florida"	"12"	10	721830	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"California"	"06"	24	1161996	2.1
	"60-64 years "	"60-64"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Florida"	"12"	10	721830	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"California"	"06"	10	1161996	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Florida"	"12"	10	721830	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Pennsylvania"	"42"	10	452217	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Texas"	"48"	13	772451	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Florida"	"12"	21	721830	2.9
	"60-64 years "	"60-64"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Texas"	"48"	13	772451	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Florida"	"12"	21	721830	2.9
	"60-64 years "	"60-64"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Pennsylvania"	"42"	13	452217	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Tennessee"	"47"	10	223177	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Texas"	"48"	21	772451	2.7
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"California"	"06"	11	1071926	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"California"	"06"	10	1071926	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"Florida"	"12"	11	627381	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Arizona"	"04"	12	192558	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"California"	"06"	68	1071926	6.3
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Colorado"	"08"	12	163855	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Connecticut"	"09"	11	114916	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Florida"	"12"	47	627381	7.5
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Georgia"	"13"	10	276471	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Illinois"	"17"	21	378039	5.6
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Massachusetts"	"25"	12	208600	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Michigan"	"26"	20	325289	6.1
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"New Jersey"	"34"	16	268885	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"New York"	"36"	37	581933	6.4
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"North Carolina"	"37"	16	296040	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Ohio"	"39"	24	373706	6.4
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Pennsylvania"	"42"	21	421786	5.0
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Tennessee"	"47"	10	199164	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Texas"	"48"	26	711608	3.7
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Virginia"	"51"	15	244873	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Washington"	"53"	13	224570	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Arizona"	"04"	12	192558	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"California"	"06"	68	1071926	6.3
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Colorado"	"08"	12	163855	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Connecticut"	"09"	11	114916	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Florida"	"12"	47	627381	7.5
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Georgia"	"13"	10	276471	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Illinois"	"17"	21	378039	5.6
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Massachusetts"	"25"	12	208600	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Michigan"	"26"	20	325289	6.1
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"New Jersey"	"34"	16	268885	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"New York"	"36"	37	581933	6.4
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"North Carolina"	"37"	16	296040	Unreliable
